,post_id,text_str,final_label
0,5529520_gab,fuck trudeau no to islam kick the muzzies out ocanadaourhomeandnativeland,hatespeech
1,5529520_gab,sound off fuck trudeau no to muslimism islam kick the muslimism muzzies muhammadanism get it on out get it on sound off ocanadaourhomeandnativeland,hatespeech
2,5529520_gab,fuck trudeau no to muslimism kick the muzzies out ocanadaourhomeandnativeland,hatespeech
3,5529520_gab,muslimism fuck trudeau no to islam no more kick the muhammadanism muslimism get it on muzzies out get it on no more ocanadaourhomeandnativeland,hatespeech
4,5529520_gab,fuck trudeau no to mohammedanism kick the muzzies out ocanadaourhomeandnativeland,hatespeech
5,5529520_gab,fuck trudeau no to islam kick the muzzies out ocanadaourhomeandnativeland ,hatespeech
6,11762516_gab,go back to breitbart you sound like a developmentally challenged boomer,offensive
7,11762516_gab,go back to breitbart you sound like a retarded baby boomer,offensive
8,11762516_gab,go back to retarded you sound like a breitbart boomer,offensive
9,11762516_gab,go back to breitbart you sound like a retarded boomer,offensive
10,11762516_gab,go back to breitbart you sound like a retarded boomer,offensive
11,11762516_gab,go back to breitbart you sound like a retarded boomer ,offensive
12,1182326476101836800_twitter,gentle reminder that game journalists are boot licking retards all of them,offensive
13,1182326476101836800_twitter,gentle reminder that game journalists are boot licking retards all of them,offensive
14,1182326476101836800_twitter,gentle reminder that game journalists retards boot licking are all of them,offensive
15,1182326476101836800_twitter,check embody gentle reminder personify that game journalists personify check trouncing quell are appease boot licking retards all of them,offensive
16,1182326476101836800_twitter,gentle reminder that game journalists are boot work out retards all of them,offensive
17,1182326476101836800_twitter,gentle reminder that game journalists are boot licking retards all of them ,offensive
18,1178607326833577985_twitter,you dumb nigger im angstrom unit gonna have your mute pike motorway along head on a angstrom unit on pike,hatespeech
19,1178607326833577985_twitter,you dumb nigger im a have your head on gonna pike,hatespeech
20,1178607326833577985_twitter,you silent nigger im gonna have your head on a pike,hatespeech
21,1178607326833577985_twitter,you gonna nigger im dumb have your head on a pike,hatespeech
22,1178607326833577985_twitter,you dumb nigger im gonna have your head on a pike,hatespeech
23,1178607326833577985_twitter,you dumb nigger im gonna have your head on a pike ,hatespeech
24,1179097350519828480_twitter,do not car buy a ever from a redneck,offensive
25,1179097350519828480_twitter,do not ever a buy car from a redneck,offensive
26,1179097350519828480_twitter,angstrom unit do not of all time ever mormon state buy a elevator car car ut from a of all time redneck,offensive
27,1179097350519828480_twitter,do not ever buy a car from a cracker,offensive
28,1179097350519828480_twitter,do not ever buy a car from a redneck,offensive
29,1179097350519828480_twitter,do not ever buy a car from a redneck ,offensive
30,22970566_gab,then clutch the judge home by eminent domain and put the refugee center there,normal
31,22970566_gab,aside soh so then seize the judge home by eminent domain domain of a function and lay put the refugee so center towering laic gauge there,normal
32,22970566_gab,then seize the judge home by eminent domain and put refugee the center there,normal
33,22970566_gab,then seize the judge home by eminent domain and put the refugee center there,normal
34,22970566_gab,then seize the judge home by eminent domain of a function and put the refugee center there,normal
35,22970566_gab,then seize the judge home by eminent domain and put the refugee center there ,normal
36,1179098202282369024_twitter,yes i live redneck texas and no i am not a damn in,normal
37,1179098202282369024_twitter,yes i live in tx and no i am not a damn redneck,normal
38,1179098202282369024_twitter,yes i live in texas and no i am not damn redneck,normal
39,1179098202282369024_twitter,lone star state lone star state angstrom unit yes anathemise i live in texas and angstrom unit anathematise hold up no i am not a damn redneck,normal
40,1179098202282369024_twitter,yes i live redneck texas and no i am not a damn in,normal
41,1179098202282369024_twitter,yes i live in texas and no i am not a damn redneck ,normal
42,8660015_gab,standwithisrael always was and will be with or with out the arab,normal
43,8660015_gab,standwithisrael always was and will be with or with out the arabs,normal
44,8660015_gab,extinct extinct standwithisrael extinct always personify incessantly nonextant was and will be with or with incessantly out the arab arabs,normal
45,8660015_gab,standwithisrael always was and will be with or with out the arab,normal
46,8660015_gab,personify arab arabian standwithisrael arab always was arabian and will be with or with arabian out personify personify the arabs,normal
47,8660015_gab,standwithisrael always was and will be with or with out the arabs ,normal
48,17575783_gab,can this bitch from saudia arabia be carry already,offensive
49,17575783_gab,can personify this bitch embody from saudia arabian peninsula personify arabia embody be deported exile already,offensive
50,17575783_gab,can this arabia from saudia bitch be deported already,offensive
51,17575783_gab,can bitch this from saudia arabia be deported already,offensive
52,17575783_gab,can this bitch from saudia arabia be deported already,offensive
53,17575783_gab,can this bitch from saudia arabia be deported already ,offensive
54,1160689817224654848_twitter,after an foresighted update phoenix round gang members no more can genus phoenix appendage work party no longer attack the prospicient appendage weaponsmaster,normal
55,1160689817224654848_twitter,appendage after an former update phoenix associate in nursing later gang members later arse can no longer former process attack the weaponsmaster,normal
56,1160689817224654848_twitter,after an update members gang phoenix can no longer attack the weaponsmaster,normal
57,1160689817224654848_twitter,after an update phoenix gang members can no longer weaponsmaster the attack,normal
58,1160689817224654848_twitter,after an update phoenix gang members can no longer attack the weaponsmaster,normal
59,1160689817224654848_twitter,after an update phoenix gang members can no longer attack the weaponsmaster ,normal
60,1178677159382179840_twitter,rum queer eye is citizenry personify literally palatable faggotry for straight people heterosexual person personify toothsome dont personify me,hatespeech
61,1178677159382179840_twitter,queer center is literally palatable faggotry for straight people dont me,hatespeech
62,1178677159382179840_twitter,queer eye is literally centre personify heterosexual person toothsome palatable faggotry for straight heterosexual person toothsome people dont center of attention me,hatespeech
63,1178677159382179840_twitter,queer eye is literally palatable faggotry for flat people dont me,hatespeech
64,1178677159382179840_twitter,queer eye is literally palatable faggotry for straight me dont people,hatespeech
65,1178677159382179840_twitter,queer eye is literally palatable faggotry for straight people dont me ,hatespeech
66,21884077_gab,approbative diverseness embody it is that another advance beaner who information technology won the affirmative personify action beanball natural process diversity lottery,hatespeech
67,21884077_gab,it is that another beanball who won the affirmative action diversity lottery,hatespeech
68,21884077_gab,information technology information technology some other it is that personify another beaner who natural process information technology won the affirmative some other action diversity advance lottery,hatespeech
69,21884077_gab,it is that another beaner who won the affirmative action diversity lottery,hatespeech
70,21884077_gab,it is that another beaner who won the affirmative lottery diversity action,hatespeech
71,21884077_gab,it is that another beaner who won the affirmative action diversity lottery ,hatespeech
